"State" ,"AllCauses" ,"Cancer" ,"HeartDisease" ,"Stroke" ,"CLRD" ,"UnintentionalInjuries" ,"KidneyDisease" ,"Suicide" ,"AlzheimersDisease" ,"InfluenzaPneumonia" ,"Diabetes"
"Vermont" ,"Vermont" ,95443 ,23201 ,23021 ,5101 ,5958 ,5215 ,863 ,1679 ,3822 ,1573 ,2921
"District of Columbia" ,"District of Columbia" ,94156 ,20865 ,26235 ,4168 ,2610 ,3859 ,1235 ,643 ,2004 ,1570 ,3016
"Arizona" ,"Arizona" ,838107 ,184958 ,193063 ,42078 ,52730 ,53960 ,9361 ,18258 ,35799 ,18208 ,25235
"South Dakota" ,"South Dakota" ,128691 ,28998 ,32085 ,8165 ,7640 ,7265 ,1545 ,2245 ,5848 ,3529 ,4100
"Washington" ,"Washington" ,865688 ,207487 ,196060 ,53996 ,50632 ,46414 ,7575 ,16445 ,48579 ,15151 ,27851
"Iowa" ,"Iowa" ,507272 ,115576 ,132520 ,31701 ,31385 ,22867 ,5211 ,6552 ,20566 ,14014 ,13833
"New York" ,"New York" ,2741578 ,646042 ,895080 ,120466 ,123333 ,94965 ,42342 ,25533 ,40580 ,88899 ,70417
"Massachusetts" ,"Massachusetts" ,987076 ,238031 ,236859 ,52097 ,47517 ,37342 ,22963 ,9251 ,29640 ,29735 ,22301
"New Jersey" ,"New Jersey" ,1291576 ,307833 ,360633 ,65260 ,55371 ,47313 ,28228 ,11448 ,31757 ,27127 ,40905
"California" ,"California" ,4307063 ,1002719 ,1141776 ,278051 ,235467 ,194121 ,48386 ,65112 ,166438 ,121661 ,133769
"North Dakota" ,"North Dakota" ,107377 ,23551 ,26689 ,6996 ,5606 ,5377 ,1544 ,1764 ,5808 ,2708 ,3612
"Rhode Island" ,"Rhode Island" ,176337 ,41195 ,48234 ,8649 ,8876 ,7825 ,2692 ,1832 ,5746 ,4373 ,4346
"Alaska" ,"Alaska" ,63378 ,15032 ,12107 ,3107 ,3093 ,6308 ,729 ,2680 ,1204 ,933 ,1790
"Oregon" ,"Oregon" ,575963 ,134729 ,120822 ,38293 ,34153 ,28634 ,6172 ,11169 ,22644 ,9456 ,19231
"Wyoming" ,"Wyoming" ,77466 ,16598 ,17668 ,4059 ,5771 ,5565 ,1110 ,2092 ,2280 ,2110 ,2146
"Idaho" ,"Idaho" ,200170 ,44027 ,45595 ,12237 ,12581 ,11939 ,2432 ,4648 ,6855 ,4287 ,6299
"Connecticut" ,"Connecticut" ,531326 ,124327 ,138642 ,27910 ,25620 ,24346 ,10272 ,5757 ,13523 ,13476 ,12413
"Minnesota" ,"Minnesota" ,702295 ,168221 ,142311 ,42477 ,36591 ,37725 ,12565 ,10512 ,24986 ,13305 ,21235
"Illinois" ,"Illinois" ,1872193 ,440324 ,492338 ,110313 ,92821 ,77883 ,43358 ,21118 ,50732 ,46952 ,51496
"Montana" ,"Montana" ,158480 ,35021 ,35057 ,9036 ,11020 ,10104 ,2149 ,3772 ,4660 ,3430 ,4526
"New Hampshire" ,"New Hampshire" ,188000 ,46543 ,45803 ,9485 ,11351 ,9382 ,2846 ,3174 ,6490 ,3919 ,5290
"Hawaii" ,"Hawaii" ,172293 ,39557 ,43129 ,12421 ,5374 ,7858 ,3173 ,2772 ,4021 ,5601 ,4469
"Maryland" ,"Maryland" ,800522 ,187172 ,206544 ,45713 ,35446 ,27476 ,12855 ,9331 ,16723 ,19115 ,24018
"Florida" ,"Florida" ,3131123 ,737552 ,816162 ,172494 ,179414 ,155177 ,48353 ,47407 ,84856 ,49467 ,90131
"Colorado" ,"Colorado" ,561298 ,121844 ,114816 ,30634 ,37793 ,37988 ,7759 ,15427 ,21078 ,11663 ,13446
"Nevada" ,"Nevada" ,345282 ,78794 ,89243 ,16717 ,22667 ,19042 ,7108 ,8867 ,6479 ,8360 ,6472
"Utah" ,"Utah" ,260510 ,47746 ,54973 ,14834 ,11536 ,15949 ,4339 ,7794 ,7837 ,6689 ,9495
"Delaware" ,"Delaware" ,135995 ,33217 ,34442 ,7311 ,7357 ,6207 ,2681 ,1847 ,3323 ,2708 ,3847
"New Mexico" ,"New Mexico" ,281613 ,58211 ,60798 ,13811 ,16978 ,22695 ,4471 ,7071 ,6555 ,6128 ,10874
